PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Perfecti Mentos Gum Fresh Menthol Eca 56g (Loc/ 6 Hop),1,23,24,0
Perfecti Mentos Pure Fresh Huong LimeMint Vial 57g (Loc/ 6 H,1,23,24,0
PMS - Probio (Hop14goi),0,23,248,4
Pond's SRM Trang Hong Rang Ro 50g,0,23,23,6
Sakura tam bong shower (Hop/110 que),0,23,24,2
Sakura tam bong xoan (Hop/200 que),0,23,24,1
Sensodyne KDR CFreshmint (Bac Ha) 100g,0,23,23,11
Singulair Tab 10mg,0,23,88,9
Vinamilk Sua Tuoi Dau 220ml (Thung/48 Bich),1,23,40,0
"BACH TUYET Tam Bong Meriday (Hop chu nhat/200 que tron,nhon)",0,22,22,5
Bento Muc Tam Gia Vi Dac Biet 24g,0,22,22,20
Betagen Sua Uong Len Men Huong Tu Nhien 85ml (Loc/4 Chai),0,22,76,17
Canesten Cream 20g,0,22,22,2
Cebraton (H/50vien),0,22,1130,120
Colgate NSM Ice 100ml,0,22,22,3
Cool Air Gum Bac Ha (Vi/8 Vien),0,22,36,12
Dove DG Phuc Hoi Hu Ton 170g,0,22,20,6
Eugica siro 100ml,0,22,20,2
Helen Harper Bong Ve Sinh Tai Mui 100M,0,22,24,4
Khan uot Teen Care - Tim (20 mieng),0,22,23,9
Kim Tien Thao (bao duong),0,22,27,2
Mayan Giay Tham Dau Than Hoat Tinh 100to,0,22,24,8
Nabifar (Hop/10goi),0,22,250,20
Neo-Penotran,0,22,140,28
Old Spice Sap KM Fresh 63g,0,22,22,2
ORESOL 245 - DMC,0,22,160,40
Pucelle Nuoc Hoa Spacking Love Hong 75ml,0,22,23,2
Schick Exacta 2 (2+1S),0,22,22,6
Slide Khoai Tay Chien Hot&Spicy 75g,0,22,23,3
Sunplay Skinaqua Clear White SPF50+,0,22,24,11
Sunsilk DG Ong Muot Rang Ngoi 170g,0,22,22,3
T3- Mycin,0,22,22,2
Tempovate 25g,0,22,33,2
Voltaren Emulgel Gel 1% 20g,0,22,24,7
Xitrina,0,22,23,1
Xmen XKM For Boss 150ml,0,22,22,2
Xylitol Gum Fresh Mint 58g (H/40 Vien),0,22,23,6
Yes Keo Ngam Tra Xanh 36g (Thung/72 Hop),0,22,23,6
Acnes Phim Tham Dau 50 To,0,21,23,9
Amlor Cap 5mg Vien Nang ( 3 Vi x 10 Vien),0,21,316,234
Aquafresh BCDR Little Teeth 3-5T,0,21,24,8
Colgate KDR Max Fresh Night 200g,0,21,27,7
Colgate KDR Sensitive 110g,0,21,20,7
CONS Mieng dan tri mun Miacare (Ban ngay),0,21,21,4
"CONS ORALMEDIC Gel Tri Nhiet Mieng Loet Mieng 0,3ml*2",1,21,21,0
Cool Kid (Dan ha sot) - đã đổi sang mã mới,1,21,27,0
Dermovate 15g Cre 0.05%,0,21,24,3
Dorkbua Brand Banh Que Thit Heo Xong Khoi 55g,1,21,27,0
Doublemint Vien Ngam Orange Mint 23.8g (Tuyp/35 Vien),0,21,24,18
Dutch Lady Sua Tiet Trung 20 DCTY Socola 180ml (Thung/48 Hop,1,21,36,0
Efferalgan Suppo. 80mg (dat),0,21,110,15
Helen Harper BVS Tampon Normal 16M,0,21,23,5
Idarac 200mg,0,21,115,45
Johnson Baby Dau Duong The Baby Oid 200ml,0,21,23,3
KM Son Maybelline Bloom Orange,0,21,22,17
Lactacyd Revitalize 250ml,0,21,25,10
Lavie Nuoc Khoang 350ml (1 Thung/24 Chai),1,21,24,0
Levofloxacin 500mg - Stada,0,21,148,20
Locacid Cream 0.05% x 30g,0,21,23,2
Myomethol 500mg (H/100v),0,21,98,199
Nat C Yummy Gummyz,0,21,125,50
Old Spice Tam Goi 3in1 532ml*6chai/thung,0,21,20,3
Orion's Keo Ngam Mini Viet Quat 9g (Goi/30 Hu),0,21,19,3
Pepsi Light 330ml (Thung/24 Lon Cao),1,21,23,0
Perfecti Chupa Chup Huong Sua 12g (Goi/ 9 Que),1,21,34,0
PM Procare Diamond,0,21,510,60
Polygynax,0,21,119,37
Pond's SRM Ngua Mun Da Tac Dung 50g,0,21,21,4
Pucelle Nuoc Hoa Jolly Rhythem Tim 75ml,0,21,21,3
Romano XKM Toan Than Classic Xanh La 150ml,0,21,22,2
Siang Pure Inhaler (Loc 6ong),0,21,30,0
Sprite Lon Cao 330ml (Thung/24Lon),0,21,27,12
Teen Care Khan Uot Hong 20 Mieng,0,21,24,11
Vedette Mat Na Lot Nhe Mat Ong,0,21,27,27
Acetylcystein Stada 200mg,0,20,132,68
Adagrin 50mg (H/3Vien),0,20,48,0
Angela Gold (Hop/60 vien),0,20,22,3
Bao Thach Bang Cuon Y Te (50 cuon/ Loc),1,20,22,0
Bicimax (sui) - Stada,0,20,120,0
Bioflora 100mg (H/20Goi),0,20,113,25
Brufen Suspension 60ml,0,20,18,2
Ceelin 60ml,0,20,20,2
Clear DG Mat Lanh Bac Ha 370g,0,20,20,7
CONS Pororo Kids Bandage (20M),0,20,20,15
Cool Kid (Dan ha sot) (Hop/ 3Goi),0,20,30,4
Doublemint Gum Bac Ha 58.8g (Hu/40 Vien),0,20,22,9
Doublemint Vien Ngam Lemon Ice 23.8g (Tuyp/35 Vien),0,20,20,5
Duphaston Tab 10mg,0,20,232,48
Durex Extra Safe 3c,0,20,20,11
Dutch Lady Sua Tiet Trung 20 DCTY Khong Duong 220ml (Thung/4,1,20,34,0
Dutch Lady Sua Tuoi 100% Sua Tuoi Co Duong 170ml (Thung/48 H,1,20,56,0
Flucinar,0,20,20,2
Gillette Bot Cao Rau Huong Chanh 50g,0,20,20,3
Gillette Luoi lam-GST Double Edge Blades 5S+1.RPS(03.13),0,20,18,0
Johnson Baby Tam Goi Toan Than 200ml,0,20,20,3
Ladysoft Premium (xanh) 100ml,0,20,20,3
Lifebuoy NRT Bao Ve Vuot Troi 180g,0,20,23,4
MBL VOLUM EXPRESS THE FALSIE WP,0,20,18,0
Mobifone tra truoc 100 - Topup,0,20,19,-19
Nat C 1000mg (Lo/30Vien),0,20,210,30
Nghia Kem Thep D205,0,20,20,6
Nivea SDT Trang Da Dem 250ml,0,20,20,7
"Nivea Son Duong Moi Mui Dau Tay Do 4,8g",0,20,20,6
"Nivea Son Duong Moi Xanh Duong 4,8g",0,20,19,13
Okamoto Bao Cao Su Skinless Skin Purity (Hop/3 Cai),0,20,23,12
P/S KDR TRA XANH 200G,0,20,21,1
Pantoprazole Stada 40mg,0,20,82,58
Paracetamol 500mg Vidipha,1,20,198,0
Plurivica (L),0,20,21,2
Poca Snack Potato Chip Nori Seaweed  30g,1,20,25,0
Poly tears drop 15ml,0,20,26,3
Pringles Khoai Tay Chien Cheesy Cheese 110g,0,20,20,2
Rosuvastatin Stada 10mg (3Vi x 10Vien),0,20,364,60
ST Tay Thi 200ml (12 tuyp),0,20,20,3
Sterimar Adults Dung Dich Xit Mui 50ml,0,20,20,3
Systane ultra drop 5ml,0,20,22,0
Taokaenoi Crispy Seaweed  Vi Truyen Thong 15g (1 Thung/60 Go,1,20,23,0
Thuoc xit mui Thai Duong,0,20,19,1
Tiffy Siro,0,20,20,2
Trang Phuc Linh PLUS,0,20,27,2
Trapha Bot Khu Mui 30g,0,20,22,10
Trident Gum Tropical Twist 18pcs,0,20,19,5
Urgotul 10 x10,1,20,59,0
Vaseline Pure tuyp 10g,0,20,22,0
Ventolin Inh 100mcg,0,20,21,2
VG 5,0,20,22,2
Whisper BVS SM Canh Dem 5s,0,20,29,4
Abbott Ensure Gold Vigor 237ml,0,19,63,5
Acnes Kem RM Ngan Ngua Mun Creamy Wash 50g,0,19,19,4
Agassi Khan Uot 10T,0,19,21,19
Agi Khan Uot Co Huong 80M,0,19,20,4
Antacil (25Vi x 10Vien),0,19,260,230
Antiphlamine Lotion Dau Xoa Bop Giam Dau 100ml,0,19,23,3
ATORVASTATIN 10 - Euvipharm,1,19,187,0
Canesten 1 vien 500mg,0,19,19,2
CONS Microlife Nhiet Ke Dien Tu MT500,0,19,17,2
Cottu F Syrup 100ml,0,19,19,1
Cream-O Banh Quy kem vanilla  93g*24 cay/thung,0,19,18,
Dau gio nau,0,19,24,3
Di-ansel,0,19,150,50
Dove ST Duong The Mat Xa Tay Te Bao Chet 530g,0,19,19,3
Eunyul Mat Na Aloe 22ml,1,19,28,23
Glucosamin 500mg - Glomed,0,19,200,0
Hapacol Codein (Sui) (4Vi x 4Vien),0,19,112,32
Ibuprofen 400mg - Stada (10vi x 10vien),1,19,100,0
Lifebuoy NRT Cham Soc Da 500g,0,19,17,4
Lifebuoy ST Cham Soc Da 250g,0,19,23,8
Lifebuoy XBC Mat Lanh Sang Khoai 90g,0,19,26,6
Loreal SRM DEX WP Foam R2011 50ml,0,19,19,2
Mat ong nghe Vien Den 100g - Xuan Nguyen,0,19,20,4
Nga Phu Khang (Lo/60 Vien),0,19,20,2
Nivea LKM Nam Kho Thoang 50ml,0,19,20,2
Pantostad 40 (4Vi x 7Vien),0,19,140,56
PMS - Mexcold 325mg (10vi x10vien),1,19,100,0
Poca Nutz Snack Coconut 18g,0,19,30,16
Poca Snack Potato Chip Brazil BBQ Pork Rib  30g,0,19,23,0
Pulmoll Keo Ngam Zitrone 50g/Hop,0,19,20,5
Refresh Liquigel 15ml,0,19,21,4
Sakura (Mieng dan lanh) (Hop/3Goi),0,19,30,3
Secret Powder Fresh Sap Khu Mui 48g,0,19,19,5
Spirastad 3 M.I.U,0,19,79,11
Telmisartan 40mg - Stada,0,19,34,7
Utrogestan 200mg,0,19,286,42
Zasinat 500mg (Hop/10 Vien) - Euvipharm,1,19,90,0
Bella Flora BVS Ban Ngay Cotton 10M,0,18,58,0
C2 Tra Xanh Huong Tao 360ml (Thung/24 Chai),1,18,23,0
Colchicine 1mg - Stada,0,18,145,35
CONS Miacare Mieng Dan Mun Ngay Va Dem,0,18,20,3
Dial ST Yogust Vanilla Honey 473ml*6 chai/thung,0,18,18,2
Dove ST Duong The Hat Mat Xa Tay Te Bao Chet 180g,1,18,16,0
Doxycylin 100mg (10 Vi x10 Vien),0,18,175,166
Durex RealFeel 3c- đã đổi sang mã mới,1,18,16,0
Eunyul Mat Na Honey 22ml,1,18,23,17
Fami Sua Dau Nanh Nguyen Chat 200ml (Thung/ 40 Bich),1,18,31,0
Fristi Sua Chua Uong Cam 80ml(Thung/48Chai),0,18,24,15
Fucicort Cream 15g,0,18,19,14
Jordan BCDR Target White,0,18,20,0
Kary Uni Ophthalmic Suspension 0.005% x 5ml,0,18,20,2
KY Jelly 50g - đã đổi sang mã mới,1,18,18,0
Le Fruit Nuoc Ep Cam 260ml (Thung/12 Chai),0,18,20,14
Lifebuy NRT Bao Ve Vuot Troi 500g,0,18,16,3
Listerine Zero 250ml,0,18,19,9
Mayan Giay Tham Dau Mayan 100T,0,18,18,9
MBL LIPSM COLORBLOOM BLISTER PINK,0,18,16,8
MegaBeauty,0,18,18,2
Mobic Tab 15mg,0,18,67,33
Nabati Richeese Banh Pho Mai Ahh Triple 5.5gr,0,18,84,36
Nexium Tab 20mg (2Vi x 7Vien),0,18,167,29
Nizoral Cream 5gr,0,18,18,2
OHNO,0,18,18,2
OK BCS Huong Bac Ha,0,18,22,24
Pantene DG Ngan Rung Toc 335g,0,18,18,8
Pms-Mexcold 150,0,18,83,25
Pond's Kem Duong Trang Hong Tinh Khiet Dem 30g,0,18,19,8
Pond's SRM Trang Hong Rang Ro 100g,0,18,18,3
Pulmoll Keo Ngam Limette 50G/Hop,0,18,20,8
Regulon (Hop/1vi),0,18,18,2
Salbufar 2mg - Pharmedic,0,18,680,0
Skittles Keo Ma Thuat Huong Tu Nhien 61.5g,1,18,18,0
Slide Khoai Tay Chien Original 160g,0,18,18,2
Snicker Keo Chocolate 51gr,0,18,23,5
ST. IVES SRM Sach Mun Dau Den Tra Xanh 170gr,0,18,18,2
Tetracylin 1% Tuyp - Vidipha,0,18,20,5
Thong Xoang Tan Nam Duoc (Hop/50vien),0,18,20,3
Ticarloc Chuyen Tri Seo Loi 10G,0,18,18,0
Urgo Pore 2.5cm x 5m,0,18,21,18
Woongjin Nuoc Viet Quot 180ml (1 Thung/24 Chai),0,18,22,14
Zinnat Sac 125mg (Hop/ 10 Goi),0,18,94,16
Acyclovir STADA Cream 5g - VN,0,17,22,2
Agi Binh Sua Premium Cao Cap 250ml,0,17,21,0
Aisen Da Bot Tu Nhien BE238,0,17,18,4
Alipas Platinum,0,17,17,2
B COMPLEX C - Euvipharm,1,17,400,
Bao Xuan 50+,0,17,510,60
Berberin 100mg ( chai 100v),0,17,642,155
Biore chong nang hoan hao Moisture SPF 50+,1,17,18,1
Bong cat mieng tiet trung,1,17,20,
Bye Bye Fever - Hisamitsu (Hop/ 8Goi),0,17,19,5
Canesten 6 vien 100mg,0,17,17,2
Chicco Kem Chong Muoi 60 ml,0,17,17,0
Chicco Lan Dac Tri Muoi Va Con Trung Can,0,17,19,2
CONS Ace Band-S Transparent (Trong suot) 4 Size (20M),0,17,18,10
CONS Coko Mat na Nanocell Qua Sinh Hoc Duong Am 23g,0,17,20,20
CONS Mieng dan tri mun Miacare (ban dem),0,17,17,3
Cravit Ophthalmic Solution 0.5% x 5ml,0,17,19,7
Dove Kem Xa Phuc Hoi Hu Ton 170g,0,17,15,4
Emos Khan Giay Bo Tui Prem 12 To 3 Lop 6goi/loc,0,17,30,14
Enalapril 5mg - Stada,0,17,27,6
Flucort N 15g,0,17,22,3
Fluzinstad 5mg Stada (10Vi x 10Vien),0,17,158,190
Fristi Sua Chua Uong Nho 80ml(Thung/48 chai),0,17,18,16
Green Cross Green Tea - Xanh La 250ml,0,17,23,2
Haicneal (goi) (H/50Goi),1,17,150,0
Hasancetam 800mg (H30v),0,17,312,46
Hazeline ST Sua De & Ngoc Trai (Chai/350ml),0,17,17,6
Hidrasec Children Pwd 30mg,0,17,78,42
Hydrite Tab (25 Vỉ x 4 Vien),1,17,100,0
Johnson Baby Kem Duong Da Chua Sua Va Gao 50g,0,17,18,6
KM Ao mua PMC,0,17,39,0
Lif Sua Bap Non 180ml (Thung/24 Hop),1,17,37,
Lifebouy Dau Goi Toc Day Ong A 170g,0,17,17,3
Lifebuoy Gel Rua Tay Kho 55ml,0,17,17,14
Loreal Dau Goi Ngan Rung Toc FR3X 330ml,0,17,17,6
M&M Chocolate Sua 100g,0,17,18,6
MBL Ke Mat Hyper Sharp Laser - Den 0.5G,0,17,17,4
MBL Mascara Dai Mi K.Troi Lashionista 7ml,0,17,17,5
Metronidazol 250mg - Stada (2x10),0,17,224,36
Nghia Kem D555,0,17,17,4
Nivea Nuoc Hoa Hong Trang Da 200ml,0,17,15,6
Nystatin - Vidipha (10vi x8vien),0,17,105,55
Oflovid 5ml,0,17,17,7
Oishi Snack Bap Ngot 45g/25,0,17,18,5
Oishi Snack Bap Vi Phomai 45g,0,17,19,2
Oishi Snack Tom Cay Dac Biet 45g/25,0,17,18,11
Okamoto Bao Cao Su Skinless Skin Purity (Hop/10 cai),0,17,18,8
Okamoto Bao Cao Su Skinless Skin Vanilla (Hop/10 cai),0,17,18,7
Romano Gel Giu Nep Cung Toc Classic Xanh La 150g,0,17,18,2
Sac Ngoc Khang sua rua mat 50g,0,17,18,0
Salonpas Liniment 50mg(lan),0,17,18,2
Sangjung Pulp Khan giay uot Aloe Vera 10s/goi,0,17,26,16
Serc 8 tab 8mg,0,17,225,75
Sibelium 5Mg Caps. B/100,0,17,223,177
Sporal 100Mg Caps,0,17,98,18
Star Sore Throat (2vix8vien),0,17,12,2
Sunplay Skinaqua Acne Clear Milk SPF 50+,0,17,18,4
Theralene syrup 90ml,0,17,15,3
VCF (H/3Mieng),0,17,24,3
Veet Kem Tay Long Da Nhay Cam 50g,0,17,17,8
Vit-hair Women,0,17,80,8
Voltaren SR FCT 75mg (10 Vi x 10 Vien),0,17,191,110
Air-X Drops Simethicone,0,16,21,2
Aquadetrim D3,0,16,16,0
Axe XKM Toan Than Gold 150ml/12,0,16,14,3
Bless You GVS BY Hold Me 2cuon/cap,0,16,21,9
Carefree BVS ST HN 40M/goi,0,16,18,9
Cefini 100 Glomed  (Hop/10 Vien),0,16,80,10
Colgate BCDR Extra Clean Mem Manh 3+1,0,16,14,0
CONS Pororo Kids Bandage 4 Size (20M),0,16,16,7
Dau Gio Eagle 12ml,0,16,17,1
Dau Gio Truong Son,0,16,14,2
Diana BVS Sieu Tham Ko Canh 8M,0,16,20,5
Diclofen H30v,0,16,76,44
Doublemint Vien Ngam Peppermint 23.8g (Tuyp/35 Vien),0,16,17,8
Dove ST Duong The Voi Duong Chat Tham Sau 180g,0,16,16,7
Efferalgan Suppo. 300mg (dat),0,16,67,18
Ellgy H2O - Hydro Replenishing 25g,0,16,16,1
Enchantuer ST Romantic Hong 180g,0,16,16,2
Ery 250mg,0,16,63,51
Fami Sua Dau Nanh Nguyên Chất 200ml (Thung/36 Hop),1,16,29,0
Fullfish Snack Ca Vi Cua Bien 21g (Thung/36 Goi),1,16,17,0
Hasanflon 500mg,0,16,169,41
Ich Mau - DMC,0,16,360,40
Johnson Baby Phan Xanh Powder 100g,0,16,16,4
KM Coko Mat Na Ong,0,16,26,19
Lifebuoy XBC Kho Quan Thien Nhien 90g,0,16,19,6
Lipistad 20mg Stada,0,16,332,28
Liverstad stada (H/100v),0,16,314,86
Loreal Dau Goi Elseve Color Vive Caring 330 ml,0,16,16,2
Mecefix 75mg (H/20Goi),0,16,96,20
Meiji Hello Panda Banh Kem Socola 50g,1,16,18,0
Nivea LKM Nu Whitening Extra 50ml,0,16,16,6
Oishi Snack Phong Muc 45g/25,0,16,17,3
OK BCS Huong Chuoi,0,16,22,24
Oral Clean BCDR Formula Soft,0,16,16,6
Oral-B BCDR Sieu Men 1x6x16,0,16,19,5
Oreo Banh quy kem lanh Viet Quat 137g,0,16,18,0
Otrivin 0.1% Nasal Spray 10ml,0,16,16,2
Paseo Khan Giay Hop 200 To 2 Lop (Hoa Hong),0,16,21,3
PEI TIEN Banh Cuon Gao Luc Konjac Vi Sua 160 g,0,16,16,2
Sac Ngoc Khang (New),0,16,16,0
Sunplay Baby Mild SPF35 (30G),0,16,16,5
Sunplay Skinaqua Silky White Gel SPF50PA+,0,16,16,6
Thuoc ho P/H,0,16,16,2
Vien xong Euca OPC (2vi x 10vien),0,16,220,40
Xylitol  Gum Cool 11.6g (vi),0,16,16,14
Xylitol Gum Cool 58g (H/40 vien),0,16,17,8
Zitromax Tab 500mg,0,16,42,9
Acnacare,0,15,24,6
Acyclovir STADA 400mg,0,15,365,55
Aloera Tube 30g,0,15,15,2
An Tri Vuong,0,15,16,2
Baby Care Khan Uot Mui Phan (Goi/80 mieng),1,15,15,0
Berocca Boost (Tuyp/15 vien tab),0,15,150,30
Cao Bach Ho,0,15,17,6
Ceodox 100mg  (2 Vi x 10 Vien),0,15,60,0
Clear Men DG Mat Lanh Bac Ha Day 5g,0,15,79,22
CONS Eyelight Children DHG (Hop/3vi/30 vien),0,15,120,60
Cot Thoai Vuong,0,15,16,3
Diep Ha Chau vi - Nadyphar,0,15,410,90
Domina,0,15,14,2
Ecosip Cool,0,15,85,25
Enchantuer LKM Charming 25ml,0,15,15,5
Fanta Orange Lon Cao 330ml (Thung/24Lon),1,15,20,2
Fluconazol 150mg - Stada,0,15,21,7
Gatsby Wax Tao Kieu Toc Power& Spikes 75G,0,15,15,3
Glodafil 20 - Glomed (Hop/vi/2vien),0,15,48,0
Green Cross RT Huong dua tao 100ML,0,15,17,3
Gum Bigbabol 18g,1,15,16,0
H&S Dau Goi Bac Ha 350ml,0,15,15,3
H&S DG Men mat sach sang khoai 173ml,0,15,15,3
Hazeline SRM Chiet Xuat Dua Leo 50g,0,15,15,3
Heineken Bia 330ml (Thung/24 Lon),1,15,39,0
Herbal Essences ST Totally Twisted 467ml*6chai/thung,1,15,15,3
Kotex BVS Hang Ngay SM Huong Hoa 40M,0,15,23,9
Kotex BVS Sieu Mem Ban Dem 28cm 4M,0,15,20,15
Lifebouy Dau Goi Toc Day Ong A 320g,0,15,15,3
Lifebuoy ST Bao Ve Vuot Troi 250g,0,15,15,6
Listerine Tartar Protection 250ml,0,15,15,7
Magne B6 Corbiere 10ml (Hop/10ong),0,15,115,15
Montiget 5mg (2Vi x 7Vien),0,15,51,18
Motilium Suspension 60ml H/1,0,15,15,2
Mucosta 100mg (H100v),0,15,220,180
Nivea LKM Nam Sieu Phan Tu Bac 50ml,0,15,15,3
Nivea LKM Nu Ngoc Trai 25ml,0,15,15,6
Nivea SRM Nam Khoang Chat Bun 100g,0,15,15,3
Nyst - Thuoc Ro Mieng,0,15,108,22
Omega 3 UBB,0,15,15,2
Ong hit Inhaler - PMD (Loc 5ong),0,15,19,11
Oxy 5,0,15,14,2
P/S KDR Chuyen Gia White 150g,0,15,13,1
Pantene DX MM Ong A 165g,0,15,15,3
Panthenol Spay,0,15,15,2
PMS - BVIT 6 250mg VNA (Chai200vien),0,15,47,0
Pond's SRM Ngua Mun Da Tac Dung 100g,0,15,14,2
Pond's SRM Trang Da Tinh Khiet 100g,0,15,19,2
Pulppy Khan Giay Bo Tui (Thung/100loc/6goi),1,15,36,0
Richeese Nabati Banh Xop Pho Mai 8g*6 hop/thung - đã đổi san,1,15,16,0
Richeese Roll Banh Phomai 8g (Thung/6 Hop/20 Cay),0,15,101,39
Rocket 1H,0,15,15,2
Sai Gon Bia Special 330ml (Thung/24 Lon),1,15,48,0
Sakura tam bong trang diem (Hop/150 que),0,15,17,3
Salonpas pain relief patch,0,15,85,10
SnB Giay Uot Tinh Khiet Hello Kitty SS238 80to/ Goi,0,15,24,0
Sprite 1.5L (Thung/12 Chai),0,15,15,9
Sunplay Out-Going SPF50 (30g),0,15,15,9
Sunsilk DG Mem Muot Dieu Ky 170g,0,15,13,2
Sunsilk DX Mem Muot Dieu Ky 320g,0,15,15,3
Taokaenoi Big Roll Vi Muc 3.6g (1 Thung/144 Goi),1,15,38,0
Vaseline Duong Am Crème Brulee 7g,0,15,15,6
Vaseline SDT Trang Da Tuc Thi 200ml,0,15,16,4
Viettel tra truoc 100 - Topup,0,15,15,-15
Woongjin Nuoc Tao 180ml (1 Thung/24 Chai),0,15,17,0
Xisat Rhinitis (xanh la) - đã đổi sang mã mới,1,15,15,0
Yomost Sua Chua Uong Luu Va Dau Rung 170ml(Thung/48Hop),1,15,19,0
Abone Muoi Tam Sua 350gr,0,14,14,5
Acnes Scar Care Kem Mo Vet Tham & Lien Seo 12g,0,14,15,5
Acnes SRM Vitamin Cleanser 50g,0,14,14,3
Arcalion (Chai/30vien),0,14,30,0
Atenolol 50mg Stada,0,14,185,115
Bella Flora BVS Hang Ngay Cotton 20M,0,14,14,5
Beprosalic Ointment,0,14,16,1
Bibonlax Adults,0,14,40,0
Biore chong nang hoan hao Cool SPF 50+,0,14,17,1
Boganic bao duong 5vi x 20vien,0,14,60,10
Clear Men DG Sach&Sau 180g,0,14,14,3
Colgate KDR Sieu Chac 100g,0,14,14,1
Com loi sua New Tasuamum (20goi x 3g),0,14,300,40
Con 90 do OPC (60ml/Chai),0,14,36,24
Diana BVS Daily Sieu Tham Khang Khuan 20M,1,14,20,0
Dove ST Duong The Voi Duong Chat Tham Sau 530g,0,14,14,3
Durex Comfort 3c,0,14,15,12
Durex Play Massage 200ml (Gel),0,14,14,3
Ellgy Plus - Cracked Heel Crem 25g,0,14,14,1
Enchantuer LKM Charming Vang 50ml,0,14,14,7
Fami Sua Dau Nanh Canxi 200ml (Thung/ 36 Hop),1,14,36,0
Folacid,0,14,460,162
Fullfish Snack Ca Vi Ga Quay 21g (Thung/36 Goi),1,14,12,0
Gatsby Wax Toc 2015 - M&H Den 25g (Loc/6 Hu),0,14,14,3
Green Cross Fresh - Xanh Duong 100ml,0,14,16,2
H&S Da Dau Ngua 350MLX12(01.14),0,14,14,5
H&S DX Bac Ha 170ml,0,14,14,4
Ha Thu O(5x20)-Traphaco,0,14,250,15
Hazeline SRM Ngua Mun Sang Da 100g,1,14,14,2
Hiruscar 20g,0,14,13,3
Johnson Baby Phan Thom Thong Thuong 200g,0,14,14,4
KM Tui Tien Loi Sudocrem,0,14,14,2
L - Cystine 500 mg DMC (Hop/60 Vien),0,14,506,94
Lifebuoy ST Cham Soc Da 850g,0,14,14,3
Loreal Dau Goi  Keratin Smooth 330ml,0,14,13,6
Loreal White Perfect Kem Trang Min Ban Dem 50ml,0,14,14,0
Monsavon ST chiet xuat hoa Vani 250ml,0,14,14,3
Nghia Bam B902,0,14,15,7
Nhiet mieng PV (H100v),0,14,16,3
Palmers Son Duong Moi Cherry SPF 15 4g,0,14,14,4
Plurivica (N),0,14,15,2
Poca Snack Potato Chip Classic 30g,1,14,14,0
Procare,0,14,14,2
Purite By Provence ST Hoa Hong 850ml,1,14,15,
Richeese Nabati Banh Kem Xop Phomai 17g (Thung/6 Hop/20 Cay),0,14,99,41
Sac Ngoc Khang sua rua mat 100g,0,14,16,1
Sangobion Cap,0,14,307,55
Slide Khoai Tay Chien BBQ 160g,0,14,14,2
Sunplay Whitening UV SPF50 (30g),0,14,14,8
Sunsilk DG Ong Muot Rang Ngoi 650g,0,14,14,2
TanaMisolblue,0,14,196,4
Taokaenoi Crispy Seaweed Vi Wasabi 36g,1,14,14,0
Tavanic 500mg Tab,0,14,52,3
Tiger balm RED(Cao ho do)19.4g,0,14,16,2
Viettel 10 - Payoo,0,14,12,8
Woongjin Nuoc Luu 180ml (1 Thung/24 Chai),0,14,16,10
X Men Gel Sieu Cung 150g,0,14,14,3
Xuan An Viet Ngu Coc Ngu Coc Dinh Duong 600g (Thung/24 Bich),0,14,13,2
Beprosalic Lotion 30ml,0,13,16,2
Biolac Plus (10Goi/H),0,13,93,17
Cefaclor 250mg (vien) - DMC,0,13,65,15
Clear DG mat lanh bac ha (Day/12 goi/6g),0,13,131,25
Clear DG Mat Lanh Bac Ha 650g,0,13,13,4
Colchicine Tab 1mg - Euvipharm,1,13,162,1
Colflox (Ofloxacin Nho Mat) 5ml,0,13,11,1
CONS Ace Band-S Sheer (Mau da) 4 Size (20M),0,13,13,10
Dexacol 5ml,0,13,14,4
Dial ST Kids Peachy Clean 355ml*6 chai/thung,0,13,11,4
Diana  BVS Hang Ngay Huong Hoa Mat Luoi 8M,0,13,14,14
Dove Dau Goi Duong Toc Bong Benh 340g,0,13,13,2
DOVE LKM Cucumber  40ml,0,13,13,3
Dozoltac - DMC,0,13,134,166
Dutch Lady Sua Tiet Trung 20 DCTY Dau 180ml (Thung/48 Hop),1,13,21,0
Dutch Lady Sua Tiet Trung 20 DCTY Dau 220ml (Thung/48 Bich),1,13,22,0
Euvixim 100mg (goi),1,13,60,
Flixonase Nasal Spr 0.05%,0,13,13,0
Green Cross Gel RT - Green Tea 100ml,0,13,14,4
Hazeline SDTD CNTT ngoc trai (Chai/230ml),1,13,13,3
Histalong (Hop/5 Vi/20 Vien),0,13,40,0
Hoat Huyet Duong Nao (1 vi x 20 vien - Bao duong ),0,13,14,3
Janumet 50mg/850mg,0,13,168,0
Johnson Baby Phan Thom Huong Hoa 200g,0,13,13,3
Lifebuoy NRT Cho Lam Bep 180g,0,13,13,0
Lifebuoy Sua Tam Bao Ve Vuot Troi 10 850g,0,13,13,4
Lipzo BCDR Wow  Charcoal,0,13,22,3
Loreal Kem DEX WP Night V3 50ml,0,13,13,1
LUX ST Magical Spell 530g,0,13,11,6
Microclismi 9g Nguoi Lon,0,13,102,66
MOBI 10,0,13,19,6
Mybacin Lozenges Mint,0,13,32,48
Nivea LKM Nam Mat Da 50ml,0,13,11,3
Nivea LKM Nu Black& White 25ml,0,13,13,10
Nivea LKM Nu Ngoc Trai 50ml,0,13,11,7
Nivea SRM Nam Ngua Mun 100G,0,13,13,3
