PRODUCTNAME,ISSTOPPED,RE06 # Transaction,RE01 # items_sold,Total Stock on hand
Socola Kitkat 4F 35g (F/W),0,72,92,9
Synervit (H/100vien),1,72,3,
Allerfar (10Vi x 20Vien),0,71,1134,193
CONS Siro Ho OV Plus Ong Vang (Hop/20 goi),0,71,416,50
Perfecti Mentos Pure Fresh Keo Ngam Peppermint 35g (Loc/ 6 H,0,71,130,13
Antibio Pro Sac Mau xanh (10Loc x 10Goi),0,70,458,142
Ho Astex,0,70,72,3
Listerine NSM Cool Mint 80ml,0,70,74,13
Nutriboost Nuoc Sua Dau 297ml,0,70,93,21
Serviciillin 500mg,0,70,892,98
Strepsils Throat irritation & cough (Hop/24goi),0,70,77,41
Zinnat Tab 500mg (Hop/ 10 Vien),0,70,405,13
Codatux Siro (Goi),0,69,413,67
Kem nghe Thai Duong,0,69,68,5
Urgo Syval 2.5cm x 5m Strong Adhesive Tape,0,69,77,9
Calcium Corbiere 10ml (Hop/30 Ong),0,68,1530,170
Kissy Khau Trang Size L,0,68,89,8
Stugeron 25Mg Tabs,0,68,547,453
Toptussan ( 24 Vien/ Chai),0,68,519,57
Fisherman's Friend Mandarin & Ginger Keo Ngam 25g,0,67,76,20
Listerine Cool Mint 250ml,0,67,77,10
PMS - Claminat 1g (2Vi x 7Vien),0,67,307,43
Richoco Roll's Banh Que 50g*60 goi/thung,1,67,76,20
Son Huong- Ro Luoi Dong Pha Hop Mong,0,67,521,10
BAR 180 vien,0,66,76,3
Dorkbua Brand Banh Que Thit Heo Xong Khoi 25g,0,66,74,8
Mobic Tab 7.5mg,0,66,439,21
Nutriboost Nuoc Sua Cam 297ml,0,66,95,16
Sunplay Super Block SPF81 (30g),0,66,70,8
Dudencer (H30v) - Stada,0,65,268,59
Durex Fetherlite 3c,0,65,68,11
Gillette Luoi dcao GL Vector 2 1CSX480X2X12X40(04.13)SBD,0,65,71,4
Ranitidin 150mg (10Vi x 10Vien) Khapharco,0,65,406,86
Alaxan 25x4,0,64,329,171
Bach Tuyet Happy Tam Bong Tre Em Hop Tron,0,64,69,4
Da Huong Nuoc Rua Phu Khoa Co Voi Bom 120ml,0,64,74,8
Jele Nuoc Ep Trai Cay Thach Blackcurrant 150g (Loc 3 goi ),0,64,81,10
Medexa Tab. 16mg,0,64,215,88
Mentos Keo Ngam Huong Spearmint Hop Thiec,0,64,84,16
Neo-Tergynan,0,64,269,21
Novomycine 1.5 M.IU (Hop/16 vien),0,64,305,43
Olive Dau Goi Den Toc 25ml,0,64,83,8
Pharmacity Khau trang than hoat tinh (48 cai/hop),0,64,3457,1439
Thai Duong Dau Goi Thai Duong 7 200ml,0,64,65,11
Bo Phe Nam Ha(vien ngam),0,63,64,4
Gynofar 500ml,0,63,83,5
Mayan Mieng Dan Tri Mun 20 Mieng,0,63,71,10
VRohto Dryeye,0,63,63,5
Ambroxol 30mg,0,62,377,123
Dasani 1.5L (Thung/12 Chai),0,62,73,4
Kotex HN Huong tu nhien 20M,0,62,71,11
Okamura Dung Cu Cao Luoi 5C/Vi,0,62,61,4
Rectiofar Tre Em 3ml (H/50Ong),0,62,383,101
Xisat Xanh 75ml,0,62,66,3
Acefalgan 500 ( Hop/ 10 vi x 10 vien nen dai),1,61,377,33
Bach Tuyet Happy Tam Nguoi Lon Hop Tron,0,61,61,8
Dorithricin,0,61,94,8
Golia ActivPlus Keo Thoi 16c/Hop,0,61,76,36
Hoat Huyet Duong Nao (Bao duong),0,61,283,19
Hoat Huyet Nhat Nhat,0,61,72,7
Losartan 50mg Stada,0,61,945,55
Methycobal 500ug,0,61,716,52
Paracetamol Winthrop 500mg (Hop/100 Vien),0,61,601,0
Son Huong- Ro Luoi Hai Son Pha,0,61,284,1
Urgo Multi Extensible 20's,0,61,64,0
Vedette Mat Na Dat Set - Bun Non,0,61,84,14
Bromhexin 4mg - 3/2,0,60,324,289
Carbogast,0,60,495,60
Dau gio Kim,0,60,98,0
Sting Nhan Sam 330ml (1 Thung/24 Lon),0,60,88,10
Yakult Sua Chua Uong 65ml (Loc/5 Chai),0,60,247,32
Axe Brand inhaler (Loc 6ong),0,59,65,13
Durex Fetherlite Ultima 3c,0,59,61,12
Durex Perfoma 3c,0,59,61,10
Ice+ Nuoc Vi Dao 500ml (Thung/24 Chai),0,59,68,1
I-on Life Nuoc Dien Giai 1.25L (Thung/12 Chai),1,59,69,0
I-on Life Nuoc Dien Giai 450ml (Thung/24 Chai),1,59,77,0
P/S BCDR Long To Sieu Men Manh,0,59,66,4
Phenergan cream,0,59,66,5
Stadeltine (5Vi x 10Vien),0,59,390,104
Tatanol 250 mg (Hop/ 30 goi),0,59,475,103
Urgo Transparent Clear (20m),0,59,1060,20
7Up 390ml (Thung/24 Chai),0,58,73,10
CONS Mitoyo mieng dan lanh DHG (Hop/8 Goi/16M),0,58,103,9
Durex Fetherlite 12c,0,58,59,9
Soffell huong hoa 60ml,0,58,62,10
Tobradex drop 5ml,0,58,59,4
ASCORBIN 500,1,57,200,
Dau Phat Linh (L),0,57,68,0
Eucaphor,0,57,1833,320
Loratadin Stada 10mg,0,57,251,40
P/S KDR TRA XANH 100G,0,57,59,11
Solupred 20mg ( Chai/20 Viên ),0,57,176,46
Sugus Keo Mem Trai Cay 999g (333 Vien/Goi),1,57,1274,10
Aquafina 355ml (Thung/24 Chai),1,56,77,0
Aziefti 500,0,56,121,11
Colgate BCDR Mem Manh Cham Soc Nuou,0,56,63,6
Dau Gio Eagle 24ml,0,56,78,15
Dexamethasone 0.5mg MKP (Chai 200vien),0,56,316,280
Kamistad gel,0,56,56,3
Perfecti HD White Gum Pepermint  56g (Loc/ 6 Hop),0,56,58,7
Sanlein Eye Drop 0.1% x 5ml,0,56,67,5
Telfast HD 180mg (Hop/10 Vien),0,56,240,0
Urgo Kids (Goi/8Mieng),0,56,70,29
Vitamin PP 500 - Pharmedic,0,56,550,150
Diana BVS Sensi Cool Fresh SM Canh 23cm,0,55,70,0
Durex Fetherlite Ultima 12c,0,55,65,7
Okamura Tam Chi Nha Khoa 50cay/ Goi,0,55,59,5
